objectid,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,_mean,_min
"1",E06000001,Hartlepool,,"447160","531474",-1.270180000000000,54.676139999999997,96845510.246308639645576,50305.325057601447043,5.577617925507744,4.043969631195068
"2",E06000002,Middlesbrough,,"451141","516887",-1.210990000000000,54.544670000000004,52908459.455874621868134,34964.406312717408582,3.817786249171557,3.544668674468994
"3",E06000003,Redcar and Cleveland,,"464361","519597",-1.006080000000000,54.567520000000002,248679106.107489556074142,83939.752512610924896,4.091772898742834,3.220668792724609
"4",E06000004,Stockton-on-Tees,,"444940","518183",-1.306640000000000,54.556910999999999,207159134.052943527698517,87075.860823865717975,3.957108974456787,3.870248317718506
"5",E06000005,Darlington,,"428029","515648",-1.568350000000000,54.535339000000000,198812770.766702651977539,91926.839544736809330,4.004517197608948,3.826128244400024
"6",E06000006,Halton,,"354246","382146",-2.688530000000000,53.334240000000001,80285487.963777825236320,66618.913964081570157,5.267617907733567,5.135526657104492
"7",E06000007,Warrington,,"362744","388456",-2.561670000000000,53.391627999999997,178628103.877441912889481,71840.670105344892363,5.148759575842399,5.046143531799316
"8",E06000008,Blackburn with Darwen,,"369490","422806",-2.463600000000000,53.700802000000003,139386372.837704271078110,55099.150656999561761,4.354788639752789,3.774593353271484
"9",E06000009,Blackpool,,"332819","436635",-3.021990000000000,53.821639999999995,33695601.822623208165169,30031.408509749060613,7.252943623319054,7.210070610046387
"10",E06000010,"Kingston upon Hull, City of",,"511894","431650",-0.303820000000000,53.769199000000000,71407321.383388027548790,41191.839744042066741,4.778537333279879,4.704655170440674
"11",E06000011,East Riding of Yorkshire,,"488056","443597",-0.661950000000000,53.881119000000005,2407736417.916069984436035,342145.564461021625903,4.409179389476776,3.844129085540771
"12",E06000012,North East Lincolnshire,,"523465","404564",-0.139110000000000,53.523270000000004,190515165.006190747022629,79044.191544497633004,4.564139366149902,4.453354835510254
"13",E06000013,North Lincolnshire,,"497800","410993",-0.524070000000000,53.586430000000000,851248285.548166990280151,180169.926314651209395,4.476461029052734,4.385641574859619
"14",E06000014,York,,"460864","452589",-1.073750000000000,53.965820000000001,275546399.143392980098724,84074.345937298407080,4.226806879043579,4.129559993743896
"15",E06000015,Derby,,"435609","335375",-1.471890000000000,52.914639000000001,78270268.216013163328171,40201.836985869864293,4.486689804961595,4.291000843048096
"16",E06000016,Leicester,,"458946","304594",-1.130400000000000,52.635920999999996,73589165.155181482434273,40830.230188764820923,4.506085653323956,4.437185287475586
"17",E06000017,Rutland,,"492992","308655",-0.626300000000000,52.667648000000000,392185479.476860940456390,96395.318750940714381,4.632121880849202,4.570400714874268
"18",E06000018,Nottingham,,"456082","339969",-1.166670000000000,52.954189000000000,75870408.955199688673019,49574.890143031450862,4.617139619035276,4.570184707641602
"19",E06000019,"Herefordshire, County of",,"349434","242834",-2.739310000000000,52.081538999999999,2180535922.072001457214355,285426.725625786115415,4.686679869890213,4.117603778839111
"20",E06000020,Telford and Wrekin,,"367035","313057",-2.489410000000000,52.714169000000005,291802973.438347756862640,93575.193871502880938,4.787708282470703,4.750195503234863
"21",E06000021,Stoke-on-Trent,,"389438","346652",-2.158880000000000,53.017071000000001,92988650.017369166016579,51304.033136838224891,4.182115767294146,4.126826763153076
"22",E06000022,Bath and North East Somerset,,"366217","161999",-2.486540000000000,51.356041000000005,348611816.210557520389557,107062.696328698642901,5.499041327374919,5.317496299743652
"23",E06000023,"Bristol, City of",,"359990","174846",-2.577420000000000,51.471148999999997,110320041.556104257702827,58260.236900111434807,5.921556604354147,5.436501026153564
"24",E06000024,North Somerset,,"347613","166719",-2.754390000000000,51.397072000000001,374705235.582320153713226,113129.327916097972775,6.011943936347961,5.699686050415039
"25",E06000025,South Gloucestershire,,"367559","183198",-2.469220000000000,51.546730000000004,499853753.458241224288940,113237.408942730718991,5.540743589401245,5.281898498535156
"26",E06000026,Plymouth,,"249945","58255",-4.112970000000000,50.404941999999998,82446416.561325430870056,54633.373433346489037,8.326214223880640,5.720964431762695
